,item_brand,item_name,item_price,item_link
37,Kenneth Cole New York,Women's Justin Block-Heel Tall Boots,$88.93,https://www.macys.com/shop/product/kenneth-cole-new-york-womens-justin-block-heel-tall-boots?ID=10479769&CategoryID=56233
38,Steve Madden,Winnie Harlow x Harlow Thigh-High Slouch Boots,$129.99,https://www.macys.com/shop/product/winnie-harlow-x-steve-madden-harlow-thigh-high-slouch-boots?ID=10355591&CategoryID=56233
39,Kenneth Cole Reaction,Women's Salt Chelsea Booties,$79.99,https://www.macys.com/shop/product/kenneth-cole-reaction-womens-salt-chelsea-booties?ID=10458192&CategoryID=56233
40,Jessica Simpson,Livelle Over-The-Knee Stretch Boots,$62.53,https://www.macys.com/shop/product/jessica-simpson-livelle-over-the-knee-stretch-boots?ID=10496082&CategoryID=56233
41,Tahari Girls,Adithya Flats,$28.93,https://www.macys.com/shop/product/tahari-girls-adithya-flats?ID=10365662&CategoryID=56233
42,Karen Scott,"Gladiss Slingback Pumps, Created for Macy's",$29.63,https://www.macys.com/shop/product/karen-scott-gladiss-slingback-pumps-created-for-macys?ID=10423460&CategoryID=56233
43,G by GUESS,Kix Hiker Boots,$40.93,https://www.macys.com/shop/product/g-by-guess-kix-hiker-boots?ID=10484167&CategoryID=56233
44,Baretraps,Reid Booties,$41.93,https://www.macys.com/shop/product/baretraps-reid-booties?ID=10425825&CategoryID=56233
45,INC International Concepts,"INC Women's Peymin Pool Slides, Created for Macy's",$23.93,https://www.macys.com/shop/product/inc-womens-peymin-pool-slides-created-for-macys?ID=10358140&CategoryID=56233
46,INC International Concepts,"INC Floriann Block-Heel Ankle Booties, Created for Macy's",$48.93,https://www.macys.com/shop/product/inc-floriann-block-heel-ankle-booties-created-for-macys?ID=10423480&CategoryID=56233
47,Fila,Women's Disruptor II Premium Embroidery Casual Athletic Sneakers from Finish Line,$40.00,https://www.macys.com/shop/product/fila-womens-disruptor-ii-premium-embroidery-casual-athletic-sneakers-from-finish-line?ID=10444165&CategoryID=56233
48,Born,"Carmel Harness Booties, Created for Macy's",$61.93,https://www.macys.com/shop/product/born-carmel-harness-booties-created-for-macys?ID=10499222&CategoryID=56233
49,Easy Spirit,Travelport Mules,$34.43,https://www.macys.com/shop/product/easy-spirit-travelport-mules?ID=10503677&CategoryID=56233
50,Bzees,Dolces Clogs,$39.43,https://www.macys.com/shop/product/bzees-dolces-clogs?ID=10505937&CategoryID=56233
51,Kenneth Cole Reaction,Women's Marcy Wedge Booties,$53.53,https://www.macys.com/shop/product/kenneth-cole-reaction-womens-marcy-wedge-booties?ID=10280971&CategoryID=56233
52,Marc Fisher,Analia Pointed-Toe Flats,$39.43,https://www.macys.com/shop/product/marc-fisher-analia-pointed-toe-flats?ID=10474943&CategoryID=56233
