,item_brand,item_name,item_price,item_link
311,Alexandre Birman,Clarita Metallic Ankle-Tie Sandals,$595,https://www.neimanmarcus.com/p/alexandre-birman-clarita-metallic-ankle-tie-sandals-prod226910113?childItemId=NMX4XMD_&navpath=cat000000_cat000141_cat47190746&page=2&position=71&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
312,Alexandre Birman,100mm Clarita Metallic Snake Ankle-Tie Sandals,$795,https://www.neimanmarcus.com/p/alexandre-birman-100mm-clarita-metallic-snake-ankle-tie-sandals-prod226910116?childItemId=NMX4XMB_&navpath=cat000000_cat000141_cat47190746&page=2&position=72&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
313,Alexandre Birman,Clarita Vinyl Stiletto Sandals,$595,https://www.neimanmarcus.com/p/alexandre-birman-clarita-vinyl-stiletto-sandals-prod226910139?childItemId=NMX4XM6_&navpath=cat000000_cat000141_cat47190746&page=2&position=73&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
314,Alexandre Birman,Clarita Python Ankle-Tie Sandals,$895,https://www.neimanmarcus.com/p/alexandre-birman-clarita-python-ankle-tie-sandals-prod226920038?childItemId=NMX4XMK_&navpath=cat000000_cat000141_cat47190746&page=2&position=74&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
315,Alexandre Birman,Python Slingback Ballerina Flats,$795,https://www.neimanmarcus.com/p/alexandre-birman-python-slingback-ballerina-flats-prod226920039?childItemId=NMX4XMJ_&navpath=cat000000_cat000141_cat47190746&page=2&position=75&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
316,Stuart Weitzman,Yuliana 80 Stretch Lurex Booties,$495,https://www.neimanmarcus.com/p/stuart-weitzman-yuliana-80-stretch-lurex-booties-prod228460131?childItemId=NMX4ZPT_&navpath=cat000000_cat000141_cat47190746&page=2&position=76&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
317,Gianvito Rossi,Portofino 70mm Metallic Ankle-Wrap Sandals,$815,https://www.neimanmarcus.com/p/gianvito-rossi-portofino-70mm-metallic-ankle-wrap-sandals-prod225760124?childItemId=NMX4V2P_&navpath=cat000000_cat000141_cat47190746&page=2&position=77&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
318,Saint Laurent,Loulou 100mm Metallic Leather Mule Sandals,$795,https://www.neimanmarcus.com/p/saint-laurent-loulou-100mm-metallic-leather-mule-sandals-prod226770117?childItemId=NMX4XDE_&navpath=cat000000_cat000141_cat47190746&page=2&position=78&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
319,Chloe,Laurena Scalloped Suede Ballet Flats,$620,https://www.neimanmarcus.com/p/chloe-laurena-scalloped-suede-ballet-flats-prod226140431?childItemId=NMX4WH4_&navpath=cat000000_cat000141_cat47190746&page=2&position=79&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
320,Versace,Medusa Flat Slide Thong Sandals,$350,https://www.neimanmarcus.com/p/versace-medusa-flat-slide-thong-sandals-prod226190102?childItemId=NMX4WPN_&navpath=cat000000_cat000141_cat47190746&page=2&position=80&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
321,Alexandre Birman,Clarita Naked Flat Watersnake T-Strap Sandals,$625,https://www.neimanmarcus.com/p/alexandre-birman-clarita-naked-flat-watersnake-t-strap-sandals-prod226920044?childItemId=NMX4XMH_&navpath=cat000000_cat000141_cat47190746&page=2&position=81&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
322,Roger Vivier,Belle Vivier 45mm Suede Pumps with Tortoise Buckle,$875,https://www.neimanmarcus.com/p/roger-vivier-belle-vivier-45mm-suede-pumps-with-tortoise-buckle-prod226940350?childItemId=NMX4XR0_&navpath=cat000000_cat000141_cat47190746&page=2&position=82&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
323,Wandler,Isa Satin Cady Slide Sandals,$470,https://www.neimanmarcus.com/p/wandler-isa-satin-cady-slide-sandals-prod227630160?childItemId=NMX4YM9_&navpath=cat000000_cat000141_cat47190746&page=2&position=83&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
324,Wandler,Isa Metallic Leather Slide Sandals,$470,https://www.neimanmarcus.com/p/wandler-isa-metallic-leather-slide-sandals-prod228000036?childItemId=NMX4Z11_&navpath=cat000000_cat000141_cat47190746&page=2&position=84&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
325,Rosetta Getty,Contrast Leather Clog Booties,$495,https://www.neimanmarcus.com/p/rosetta-getty-contrast-leather-clog-booties-prod227580037?childItemId=NMX4YH6_&navpath=cat000000_cat000141_cat47190746&page=2&position=85&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
326,Rosetta Getty,Crossover Shearling Slide Sandals,$650,https://www.neimanmarcus.com/p/rosetta-getty-crossover-shearling-slide-sandals-prod227590003?childItemId=NMX4YH4_&navpath=cat000000_cat000141_cat47190746&page=2&position=86&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
327,Rosetta Getty,Ballerina-Point Ruched Leather Mules,$690,https://www.neimanmarcus.com/p/rosetta-getty-ballerina-point-ruched-leather-mules-prod227610071?childItemId=NMX4YKM_&navpath=cat000000_cat000141_cat47190746&page=2&position=87&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
328,Rosetta Getty,Snake-Print Leather Slingback Flats,$690,https://www.neimanmarcus.com/p/rosetta-getty-snake-print-leather-slingback-flats-prod227610073?childItemId=NMX4YKS_&navpath=cat000000_cat000141_cat47190746&page=2&position=88&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
329,Rosetta Getty,Snake-Print Leather Zip Booties,$820,https://www.neimanmarcus.com/p/rosetta-getty-snake-print-leather-zip-booties-prod227610081?childItemId=NMX4YKR_&navpath=cat000000_cat000141_cat47190746&page=2&position=89&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
330,Rosetta Getty,Pointed-Toe Suede Zip Booties,$740,https://www.neimanmarcus.com/p/rosetta-getty-pointed-toe-suede-zip-booties-prod227610085?childItemId=NMX4YKN_&navpath=cat000000_cat000141_cat47190746&page=2&position=90&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
331,Rosetta Getty,Studded Suede Split-Heel Mules,$580,https://www.neimanmarcus.com/p/rosetta-getty-studded-suede-split-heel-mules-prod227610093?childItemId=NMX4YKT_&navpath=cat000000_cat000141_cat47190746&page=2&position=91&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
332,Stuart Weitzman,Wren 75 Stretch-Suede Booties,$575,https://www.neimanmarcus.com/p/stuart-weitzman-wren-75-stretch-suede-booties-prod228130233?childItemId=NMX4Z7U_&navpath=cat000000_cat000141_cat47190746&page=2&position=92&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
333,Stuart Weitzman,Soliesse 100mm Suede Cork-Heel Platform Sandals,$475,https://www.neimanmarcus.com/p/stuart-weitzman-soliesse-100mm-suede-cork-heel-platform-sandals-prod228130261?childItemId=NMX4Z5N_&navpath=cat000000_cat000141_cat47190746&page=2&position=93&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
334,Stuart Weitzman,Nadetta 50 Heeled Stretch-Suede Booties,$625,https://www.neimanmarcus.com/p/stuart-weitzman-nadetta-50-heeled-stretch-suede-booties-prod228410383?childItemId=NMX4ZF3_&navpath=cat000000_cat000141_cat47190746&page=2&position=94&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
335,Stuart Weitzman,Harlowe 70 Beaded Sandals,$550,https://www.neimanmarcus.com/p/stuart-weitzman-harlowe-70-beaded-sandals-prod228410405?childItemId=NMX4ZF5_&navpath=cat000000_cat000141_cat47190746&page=2&position=95&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
336,Stuart Weitzman,Merinda 75mm Strappy Snake-Print Sandals,$395,https://www.neimanmarcus.com/p/stuart-weitzman-merinda-75mm-strappy-snake-print-sandals-prod228410423?childItemId=NMX4ZF0_&navpath=cat000000_cat000141_cat47190746&page=2&position=96&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
337,Stuart Weitzman,Merinda Block-Heel Sandals,$395,https://www.neimanmarcus.com/p/stuart-weitzman-merinda-block-heel-sandals-prod228410513?childItemId=NMX4ZFG_&navpath=cat000000_cat000141_cat47190746&page=2&position=97&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
338,Stuart Weitzman,Yuliana 80 Stretch Napa Booties,$595,https://www.neimanmarcus.com/p/stuart-weitzman-yuliana-80-stretch-napa-booties-prod228430107?childItemId=NMX4ZFD_&navpath=cat000000_cat000141_cat47190746&page=2&position=98&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
339,Stuart Weitzman,Elisabetta Crystal 50 Mules,$450,https://www.neimanmarcus.com/p/stuart-weitzman-elisabetta-crystal-50-mules-prod228430154?childItemId=NMX4ZF7_&navpath=cat000000_cat000141_cat47190746&page=2&position=99&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
340,Stuart Weitzman,Soliesse 130mm Metallic Velvet Platform Sandals,$475,https://www.neimanmarcus.com/p/stuart-weitzman-soliesse-130mm-metallic-velvet-platform-sandals-prod228430400?childItemId=NMX4Z2M_&navpath=cat000000_cat000141_cat47190746&page=2&position=100&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
341,Badgley Mischka,Carissa Bejeweled Floral Mesh Ballet Flats,$198,https://www.neimanmarcus.com/p/badgley-mischka-carissa-bejeweled-floral-mesh-ballet-flats-prod228030444?childItemId=NMX4Z2Y_&navpath=cat000000_cat000141_cat47190746&page=2&position=101&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
342,Vince,Kalina Shearling Fur Slippers,$125,https://www.neimanmarcus.com/p/vince-kalina-shearling-fur-slippers-prod227170235?childItemId=NMX4Y09_&navpath=cat000000_cat000141_cat47190746&page=2&position=102&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
343,Eileen Fisher,Wink Open-Toe Pumps - Made with Recycled Materials,$205,https://www.neimanmarcus.com/p/eileen-fisher-wink-open-toe-pumps-made-with-recycled-materials-prod226770614?childItemId=NMX4XGA_&navpath=cat000000_cat000141_cat47190746&page=2&position=103&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
344,MICHAEL Michael Kors,Tavie Combat Rain Boots,$89,https://www.neimanmarcus.com/p/michael-michael-kors-tavie-combat-rain-boots-prod226210392?childItemId=NMX4WSP_&navpath=cat000000_cat000141_cat47190746&page=2&position=104&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
345,Alexandre Birman,Clarita Naked Flat Watersnake T-Strap Sandals,$625,https://www.neimanmarcus.com/p/alexandre-birman-clarita-naked-flat-watersnake-t-strap-sandals-prod226910140?childItemId=NMX4XM9_&navpath=cat000000_cat000141_cat47190746&page=2&position=105&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
346,Alexandre Birman,Miki Bicolor Twisted Metallic Leather Slide Sandals,$525,https://www.neimanmarcus.com/p/alexandre-birman-miki-bicolor-twisted-metallic-leather-slide-sandals-prod226910148?childItemId=NMX4XM2_&navpath=cat000000_cat000141_cat47190746&page=2&position=106&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
347,Alexandre Birman,Clarita Naked Flat Python T-Strap Sandals,$625,https://www.neimanmarcus.com/p/alexandre-birman-clarita-naked-flat-python-t-strap-sandals-prod226910354?childItemId=NMX4XPT_&navpath=cat000000_cat000141_cat47190746&page=2&position=107&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
348,Wandler,Isa Magic Mix Square-Toe Booties,$760,https://www.neimanmarcus.com/p/wandler-isa-magic-mix-square-toe-booties-prod227600250?childItemId=NMX4YMH_&navpath=cat000000_cat000141_cat47190746&page=2&position=108&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
349,Stuart Weitzman,Samarra Shimmery Studded Suede Ankle-Strap Sandals,$395,https://www.neimanmarcus.com/p/stuart-weitzman-samarra-shimmery-studded-suede-ankle-strap-sandals-prod227740257?childItemId=NMX4YRR_&navpath=cat000000_cat000141_cat47190746&page=2&position=109&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
350,Jimmy Choo,Emsy 85mm Lizard-Print Sandals,$750,https://www.neimanmarcus.com/p/jimmy-choo-emsy-85mm-lizard-print-sandals-prod226490082?childItemId=NMX4X2J_&navpath=cat000000_cat000141_cat47190746&page=2&position=110&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
351,Jimmy Choo,Joud Leather Net Slide Sandals,$595,https://www.neimanmarcus.com/p/jimmy-choo-joud-leather-net-slide-sandals-prod226490421?childItemId=NMX4X2Z_&navpath=cat000000_cat000141_cat47190746&page=2&position=111&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
352,Prada,Floral Raffia Slide Sandals,$590,https://www.neimanmarcus.com/p/prada-floral-raffia-slide-sandals-prod226910250?childItemId=NMX4XN5_&navpath=cat000000_cat000141_cat47190746&page=2&position=112&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
353,Marc Fisher LTD,Roony2 Flat Slide Sandals,$130,https://www.neimanmarcus.com/p/marc-fisher-ltd-roony2-flat-slide-sandals-prod227180157?childItemId=NMX4XZX_&navpath=cat000000_cat000141_cat47190746&page=2&position=113&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
354,Marc Fisher LTD,Roonyly Leopard Slide Sandals,$140,https://www.neimanmarcus.com/p/marc-fisher-ltd-roonyly-leopard-slide-sandals-prod227180158?childItemId=NMX4XZN_&navpath=cat000000_cat000141_cat47190746&page=2&position=114&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
355,Sigerson Morrison,Lamya Leather Slingback Flats,$350,https://www.neimanmarcus.com/p/sigerson-morrison-lamya-leather-slingback-flats-prod228080049?childItemId=NMX4Z4A_&navpath=cat000000_cat000141_cat47190746&page=2&position=115&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
356,Sigerson Morrison,Carissa Strappy Metallic Ankle-Wrap Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-carissa-strappy-metallic-ankle-wrap-sandals-prod228080056?childItemId=NMX4Z4B_&navpath=cat000000_cat000141_cat47190746&page=2&position=116&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
357,Sigerson Morrison,Carissa Strappy Leather Ankle-Wrap Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-carissa-strappy-leather-ankle-wrap-sandals-prod228080074?childItemId=NMX4Z49_&navpath=cat000000_cat000141_cat47190746&page=2&position=117&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
358,Sigerson Morrison,Lahela Ruched Ballet Flats,$350,https://www.neimanmarcus.com/p/sigerson-morrison-lahela-ruched-ballet-flats-prod228080166?childItemId=NMX4Z4C_&navpath=cat000000_cat000141_cat47190746&page=2&position=118&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
359,Sigerson Morrison,Betsey Ruched Leather Kitten-Heel Mule Pumps,$350,https://www.neimanmarcus.com/p/sigerson-morrison-betsey-ruched-leather-kitten-heel-mule-pumps-prod228080167?childItemId=NMX4Z4V_&navpath=cat000000_cat000141_cat47190746&page=2&position=119&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_FMjVgLoWt_7ffhKlkLGP6uo3CuII_gDjWAy-edVP.jsession
360,Sigerson Morrison,Lahela Ruched Ballet Flats,$325,https://www.neimanmarcus.com/p/sigerson-morrison-lahela-ruched-ballet-flats-prod228080210?childItemId=NMX4VX0_&navpath=cat000000_cat000141_cat47190746&page=3&position=0&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
361,Sigerson Morrison,Carita Leather Pedestal-Heel Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-carita-leather-pedestal-heel-sandals-prod228080217?childItemId=NMX4Z5E_&navpath=cat000000_cat000141_cat47190746&page=3&position=1&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
362,Sigerson Morrison,Carissa Snake-Print Strappy Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-carissa-snake-print-strappy-sandals-prod228080222?childItemId=NMX4Z4H_&navpath=cat000000_cat000141_cat47190746&page=3&position=2&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
363,Sigerson Morrison,Carmel Metallic Mock-Croc Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-carmel-metallic-mock-croc-sandals-prod228080307?childItemId=NMX4Z4D_&navpath=cat000000_cat000141_cat47190746&page=3&position=3&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
364,Sigerson Morrison,Mandel Leather Block-Heel Booties ,$395,https://www.neimanmarcus.com/p/sigerson-morrison-mandel-leather-block-heel-booties-prod228080340?childItemId=NMX4VWZ_&navpath=cat000000_cat000141_cat47190746&page=3&position=4&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
365,Sigerson Morrison,Adita Mixed Leather Kitten-Heel Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-adita-mixed-leather-kitten-heel-sandals-prod228080377?childItemId=NMX4Z5D_&navpath=cat000000_cat000141_cat47190746&page=3&position=5&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
366,Sigerson Morrison,Mandel 2 Metallic Quilted Leather Booties,$395,https://www.neimanmarcus.com/p/sigerson-morrison-mandel-2-metallic-quilted-leather-booties-prod228080379?childItemId=NMX4Z5C_&navpath=cat000000_cat000141_cat47190746&page=3&position=6&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
367,Sigerson Morrison,Adita Mixed Leather Kitten-Heel Sandals,$350,https://www.neimanmarcus.com/p/sigerson-morrison-adita-mixed-leather-kitten-heel-sandals-prod228080520?childItemId=NMX4Z4Y_&navpath=cat000000_cat000141_cat47190746&page=3&position=7&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
368,Stuart Weitzman,Loraina Napa Block-Heel Slingback Pumps,$395,https://www.neimanmarcus.com/p/stuart-weitzman-loraina-napa-block-heel-slingback-pumps-prod228130203?childItemId=NMX4Z5L_&navpath=cat000000_cat000141_cat47190746&page=3&position=8&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
369,Burberry,New Salmond Check Leather Sneakers,$490,https://www.neimanmarcus.com/p/burberry-new-salmond-check-leather-sneakers-prod226240065?childItemId=NMX4WT1_&navpath=cat000000_cat000141_cat47190746&page=3&position=9&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
370,Burberry,Hollywell Chunky Leather Sandals,$580,https://www.neimanmarcus.com/p/burberry-hollywell-chunky-leather-sandals-prod226240269?childItemId=NMX4WTE_&navpath=cat000000_cat000141_cat47190746&page=3&position=10&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
371,Burberry,Marie Patent Kitten-Heel Logo Pumps,$680,https://www.neimanmarcus.com/p/burberry-marie-patent-kitten-heel-logo-pumps-prod226240279?childItemId=NMX4WTC_&navpath=cat000000_cat000141_cat47190746&page=3&position=11&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
372,Burberry,New Salmond Check Leather Sneakers,$490,https://www.neimanmarcus.com/p/burberry-new-salmond-check-leather-sneakers-prod226240304?childItemId=NMX4WTF_&navpath=cat000000_cat000141_cat47190746&page=3&position=12&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
373,Saint Laurent,Leopard-Print Slip-On Espadrilles,$375,https://www.neimanmarcus.com/p/saint-laurent-leopard-print-slip-on-espadrilles-prod226770119?childItemId=NMX4XDH_&navpath=cat000000_cat000141_cat47190746&page=3&position=13&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
374,Jennifer Chamandi,Nicolo Leopard Slanted Pony Booties,$990,https://www.neimanmarcus.com/p/jennifer-chamandi-nicolo-leopard-slanted-pony-booties-prod227190311?childItemId=NMX4Y3M_&navpath=cat000000_cat000141_cat47190746&page=3&position=14&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
375,Eileen Fisher,Pep Platform Slip-On Sneakers,$145,https://www.neimanmarcus.com/p/eileen-fisher-pep-platform-slip-on-sneakers-prod227150124?childItemId=NMX4XZJ_&navpath=cat000000_cat000141_cat47190746&page=3&position=15&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
376,Stuart Weitzman,Nunaked Straight Patent Leather Sandals,$398,https://www.neimanmarcus.com/p/stuart-weitzman-nunaked-straight-patent-leather-sandals-prod228590355?childItemId=NMX500P_&navpath=cat000000_cat000141_cat47190746&page=3&position=16&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
377,Pedro Garcia,Winka Mock-Croc Sandals,$540,https://www.neimanmarcus.com/p/pedro-garcia-winka-mock-croc-sandals-prod226810036?childItemId=NMX4XHY_&navpath=cat000000_cat000141_cat47190746&page=3&position=17&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_OKmXcuT2U4qthkOEjIjdF3v_kiyncAyLgkE6rSqC.jsession
