,item_name,item_price,item_color,item_link
22,Sam Edelman Faux Fur Trim Down Parka,$155.98,"['LT BLUE', 'BLACK', 'NAVY', 'LODEN', 'MUSTARD']",https://shop.nordstrom.com/s/sam-edelman-faux-fur-trim-down-parka/5050776?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=lt%20blue
23,Bobeau Rib Long Sleeve Fuzzy Top (Regular & Petite),$27.00,[],https://shop.nordstrom.com/s/bobeau-rib-long-sleeve-fuzzy-top-regular-petite/5519754?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=raven%20black%20mix
24,Topshop Carly Coat (Regular & Petite),$62.50,[],https://shop.nordstrom.com/s/topshop-carly-coat-regular-petite/5301203?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=brown
25,adidas Swift Run Sneaker (Women),$56.94,[],https://shop.nordstrom.com/s/adidas-swift-run-sneaker-women/5533770?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=core%20black%2F%20core%20black%2F%20white
26,Bernardo Packable Down & EcoPlume Coat (Regular & Petite),$71.55 – $79.90,[],https://shop.nordstrom.com/s/bernardo-packable-down-ecoplume-coat-regular-petite/4682633?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=petal%20pink
27,UGG® Classic Mini II Genuine Shearling Lined Boot (Women),$89.90,[],https://shop.nordstrom.com/s/ugg-classic-mini-ii-genuine-shearling-lined-boot-women/5515177?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=antelope%20suede
28,Leith Dolman Sleeve Cardigan,$41.40,[],https://shop.nordstrom.com/s/leith-dolman-sleeve-cardigan/5274215?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=tan%20lion
29,UGG® Marciela II Water Resistant Boot (Women),$119.90,[],https://shop.nordstrom.com/s/ugg-marciela-ii-water-resistant-boot-women/5322209?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=charcoal%20suede
30,Lucky Brand Yimina Wedge Bootie (Women),$59.90,[],https://shop.nordstrom.com/s/lucky-brand-yimina-wedge-bootie-women/5483298?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=chinchilla%20snake%20leather
31,Free People Ottoman Slouchy Tunic,$88.80,"['HONEYDEW', 'AUTUMN', 'GREY ICE']",https://shop.nordstrom.com/s/free-people-ottoman-slouchy-tunic/4706530?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=honeydew
32,UGG® Classic Mini II Genuine Shearling Lined Boot (Women),$99.95,[],https://shop.nordstrom.com/s/ugg-classic-mini-ii-genuine-shearling-lined-boot-women/5533976?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=pink%20crystal
33,Thread & Supply Wubby Fleece Pullover,$49.90,"['MILK', 'CHARCOAL']",https://shop.nordstrom.com/s/thread-supply-wubby-fleece-pullover/5276971?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=milk
34,Cole Haan GrandPro Tennis Shoe (Women),$77.98,"['NATURAL JAGUAR CALF HAIR', 'BRAZILIAN LEATHER', 'NIMBUS CLOUD LEATHER', 'MAHOGANY ROSE LEATHER']",https://shop.nordstrom.com/s/cole-haan-grandpro-tennis-shoe-women/5532875?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=natural%20jaguar%20calf%20hair
35,Børn Uchee Knee High Boot (Regular & Wide Calf),$159.90,[],https://shop.nordstrom.com/s/born-uchee-knee-high-boot-regular-wide-calf/5243853?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black%20distressed%20leather
36,Sam Edelman Water Repellent Faux Fur Trim Puffer Jacket,$66.33,"['YELLOW', 'GREEN', 'BLACK', 'WHITE', 'RED']",https://shop.nordstrom.com/s/sam-edelman-water-repellent-faux-fur-trim-puffer-jacket/5384216?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=yellow
37,Leith Juliet Sleeve Sweater,$35.40,"['BLACK', 'BEIGE OATMEAL MEDIUM HEATHER', 'GREEN BUG', 'PINK BOUQUET', 'RED CHILI']",https://shop.nordstrom.com/s/leith-juliet-sleeve-sweater/5351218?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=black
38,Sam Edelman 'Petty' Chelsea Boot (Women),$77.90,"['PUTTY SUEDE', 'BLACK SUEDE']",https://shop.nordstrom.com/s/sam-edelman-petty-chelsea-boot-women/3212698?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=putty%20suede
39,Blondo Perla Waterproof Bootie (Women),$89.90,"['DARK GREY SUEDE', 'BLACK SUEDE']",https://shop.nordstrom.com/s/blondo-perla-waterproof-bootie-women/5294244?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=dark%20grey%20suede
40,UGG® Karel Boot (Women),$99.90,"['CHESTNUT SUEDE', 'BLACK SUEDE', 'CHARCOAL SUEDE']",https://shop.nordstrom.com/s/ugg-karel-boot-women/4631266?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=chestnut%20suede
41,All in Favor Perfect Henley Tunic,$24.90,"['QUAIL', 'BLACK', 'FADED ROSE', 'IVORY']",https://shop.nordstrom.com/s/all-in-favor-perfect-henley-tunic/5425950?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=quail
42,Madewell Whisper Cotton V-Neck Tank,$14.80,"['HEATHER MERCURY', 'OPTIC WHITE', 'TRUE BLACK']",https://shop.nordstrom.com/s/madewell-whisper-cotton-v-neck-tank/5521846?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FAll%20Women&color=heather%20mercury
